
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2025-07-02;75.684,07;6165324399084;78.798,58;7228528434175;80.634,90;9280928175241;76.765,64;2517984880460;73.537,28;1574126747540;78.338,32;5065651458033;79.587,41;547245439247
2025-07-03;75.746,81;6180241312226;78.854,16;7246956738901;80.713,30;9307297684659;76.821,99;2522269828473;73.607,30;1577025455453;78.412,99;5073208750266;79.682,99;548702943817
2025-07-04;75.990,86;6211202003029;79.111,83;7277703462205;80.954,26;9344581040803;77.063,16;2531951402494;73.853,01;1584618532134;78.658,74;5091833518903;79.989,43;551449085329
2025-07-05;75.990,86;6211202003029;79.111,83;7277703462205;80.954,26;9344581040803;77.063,16;2531951402494;73.853,01;1584618532134;78.658,74;5091833518903;79.989,43;551449085329
2025-07-06;75.990,86;6211202003029;79.111,83;7277703462205;80.954,26;9344581040803;77.063,16;2531951402494;73.853,01;1584618532134;78.658,74;5091833518903;79.989,43;551449085329
2025-07-07;76.206,61;6241669782746;79.349,04;7302915258071;81.172,79;9374384494790;77.283,29;2539699495780;74.065,84;1589732873803;78.880,36;5105985445197;80.211,00;553351443371
2025-07-08;76.180,50;6245910378009;79.337,75;7303830386155;81.178,09;9379380213376;77.270,55;2540655625762;74.079,05;1590620561719;78.878,70;5106175204571;80.196,07;553570573351
2025-07-09;76.617,50;6286488684156;79.790,35;7347323262764;81.633,07;9436983454892;77.725,97;2556488090467;74.513,31;1602215655275;79.317,65;5136109221715;80.679,18;557317381166
2025-07-10;77.092,61;6328691235505;80.294,25;7397463389892;82.158,60;9499339760001;78.242,98;2574680059665;74.981,41;1613428731804;79.818,67;5170312002686;81.161,00;560914701864
2025-07-11;77.241,65;6349393006109;80.441,18;7414574354781;82.335,26;9525850491079;78.404,27;2581950813311;75.124,38;1617702499455;79.969,18;5182898468473;81.380,31;563450509316
2025-07-12;77.241,65;6349393006109;80.441,18;7414574354781;82.335,26;9525850491079;78.404,27;2581950813311;75.124,38;1617702499455;79.969,18;5182898468473;81.380,31;563450509316
2025-07-13;77.241,65;6349393006109;80.441,18;7414574354781;82.335,26;9525850491079;78.404,27;2581950813311;75.124,38;1617702499455;79.969,18;5182898468473;81.380,31;563450509316
2025-07-14;77.088,41;6342713216568;80.291,48;7405669831480;82.189,37;9516132469980;78.218,82;2578695944120;74.959,70;1615892009702;79.823,75;5175163142027;81.249,27;563620102341
2025-07-15;77.753,46;6410522265097;80.984,11;7471018546587;82.900,23;9610447406821;78.920,07;2606258127887;75.620,68;1635656078860;80.528,17;5217148724987;81.953,89;572789370730
2025-07-16;77.753,46;6410522265097;80.984,11;7471018546587;82.900,23;9610447406821;78.920,07;2606258127887;75.620,68;1635656078860;80.528,17;5217148724987;81.953,89;572789370730
2025-07-17;77.334,04;6386350274600;80.557,28;7443065829341;82.444,36;9570102593559;78.468,53;2597195704605;75.203,37;1630131710322;80.073,13;5195222228959;81.508,59;571617796389
2025-07-18;77.794,90;6441106289076;81.044,10;7498337616876;82.973,19;9645803897869;78.964,88;2618981075921;75.668,71;1643762450960;80.557,63;5237616688712;82.047,90;577554420414
2025-07-19;77.794,90;6441106289076;81.044,10;7498337616876;82.973,19;9645803897869;78.964,88;2618981075921;75.668,71;1643762450960;80.557,63;5237616688712;82.047,90;577554420414
2025-07-20;77.794,90;6441106289076;81.044,10;7498337616876;82.973,19;9645803897869;78.964,88;2618981075921;75.668,71;1643762450960;80.557,63;5237616688712;82.047,90;577554420414
2025-07-21;77.517,84;6425025552975;80.758,31;7478123695365;82.692,14;9620258324435;78.682,84;2612101056427;75.425,33;1640065069423;80.276,56;5219125198370;81.717,75;575931618354
2025-07-22;77.456,30;6422610507082;80.673,19;7472887570452;82.607,31;9610746590632;78.594,23;2609579355625;75.353,46;1639413555767;80.197,69;5216149692076;81.645,26;575394990510
2025-07-23;77.483,42;6430613717837;80.686,93;7478046258415;82.617,80;9614163336801;78.617,11;2611473148879;75.397,78;1641281279145;80.241,97;5219466217977;81.630,69;575578427578
2025-07-24;77.529,45;6439789020693;80.728,40;7483515645786;82.647,78;9618889302110;78.682,23;2614029566570;75.423,26;1642335348183;80.273,21;5221699141802;81.749,12;576712583015
2025-07-25;77.578,81;6446967324520;80.774,69;7490634744623;82.698,38;9626946555927;78.730,63;2616439843690;75.496,94;1645170353990;80.312,85;5224767033941;81.812,04;577598748694
2025-07-26;77.578,81;6446967324520;80.774,69;7490634744623;82.698,38;9626946555927;78.730,63;2616439843690;75.496,94;1645170353990;80.312,85;5224767033941;81.812,04;577598748694
2025-07-27;77.578,81;6446967324520;80.774,69;7490634744623;82.698,38;9626946555927;78.730,63;2616439843690;75.496,94;1645170353990;80.312,85;5224767033941;81.812,04;577598748694
2025-07-28;78.028,65;6487181716430;81.241,22;7535918495016;83.179,30;9685114897925;79.201,89;2632045399938;75.949,46;1655550908574;80.784,64;5256178380036;82.279,46;581036905663
2025-07-29;78.407,71;6520787326089;81.653,37;7575878561061;83.620,18;9738644477566;79.600,07;2645534648732;76.320,11;1663883234873;81.194,82;5283090988683;82.726,39;584531878786
2025-07-30;78.640,07;6541643649544;81.890,82;7598979131283;83.867,68;9767797796085;79.856,41;2654395969150;76.554,49;1669204121471;81.445,42;5283797851484;82.939,00;586342843190
2025-07-31;78.904,65;6546828172457;82.187,40;7601971521374;84.151,35;9772729853253;80.129,79;2661711211270;76.802,91;1672066876173;81.728,41;5304355789627;83.233,92;588409472868
2025-08-01;78.518,86;6519708266599;81.779,34;7571349013934;83.737,83;9733910555794;79.715,62;2649992033380;76.423,13;1666799955275;81.307,63;5277046332912;82.804,79;589325585702
2025-08-02;78.518,86;6519708266599;81.779,34;7571349013934;83.737,83;9733910555794;79.715,62;2649992033380;76.423,13;1666799955275;81.307,63;5277046332912;82.804,79;589325585702
2025-08-03;78.518,86;6519708266599;81.779,34;7571349013934;83.737,83;9733910555794;79.715,62;2649992033380;76.423,13;1666799955275;81.307,63;5277046332912;82.804,79;589325585702
2025-08-04;77.888,99;6471374453532;81.156,65;7515052296740;83.099,95;9662279475994;79.095,47;2630729598220;75.835,22;1654911283889;80.696,86;5230933288071;82.055,06;584445150849
2025-08-05;78.441,37;6520990976660;81.734,29;7571679920927;83.658,04;9732454388398;79.682,07;2650921795556;76.381,09;1667162223389;81.253,13;5267006655615;82.639,02;588933283896
2025-08-06;78.601,04;6538198578024;81.876,55;7585669369858;83.804,49;9752069712389;79.832,49;2656879755732;76.535,23;1670381314018;81.407,92;5277290775642;82.814,89;590621700867
2025-08-07;79.506,86;6595273010474;82.808,74;7664941766290;84.771,19;9859374093487;80.758,74;2687438941515;77.416,77;1689532443070;82.340,06;5337797219143;83.779,42;597678037860
2025-08-08;79.424,34;6578222939040;82.704,82;7656247468624;84.667,91;9851255173411;80.656,56;2684668155101;77.326,12;1685705398667;82.253,53;5332403958283;83.719,92;597535858671
2025-08-09;79.424,34;6578222939040;82.704,82;7656247468624;84.667,91;9851255173411;80.656,56;2684668155101;77.326,12;1685705398667;82.253,53;5332403958283;83.719,92;597535858671
2025-08-10;79.424,34;6578222939040;82.704,82;7656247468624;84.667,91;9851255173411;80.656,56;2684668155101;77.326,12;1685705398667;82.253,53;5332403958283;83.719,92;597535858671
2025-08-11;79.247,49;6562738153608;82.508,81;7640217756127;84.478,31;9832894562195;80.470,78;2680288017274;77.153,98;1682430798063;82.071,62;5319582142579;83.542,04;596734925685
2025-08-12;79.619,85;6595651074654;82.889,43;7679048420782;84.885,91;9884100094820;80.850,02;2694616187664;77.516,82;1691503085199;82.471,07;5347578625170;83.916,25;600084847034
2025-08-13;79.784,29;6613849385255;83.058,25;7698065097836;85.033,00;9911300668526;81.015,97;2703287488585;77.681,88;1696910055600;82.631,31;5360367379831;84.118,40;602370695143
2025-08-14;79.838,13;6624692489360;83.119,67;7710934010652;85.093,97;9931654169125;81.112,71;2710050396037;77.725,70;1700372365581;82.693,80;5368815300252;84.144,48;603677695011
2025-08-15;79.838,13;6624692489360;83.119,67;7710934010652;85.093,97;9931654169125;81.112,71;2710050396037;77.725,70;1700372365581;82.693,80;5368815300252;84.144,48;603677695011
2025-08-16;79.838,13;6624692489360;83.119,67;7710934010652;85.093,97;9931654169125;81.112,71;2710050396037;77.725,70;1700372365581;82.693,80;5368815300252;84.144,48;603677695011
2025-08-17;79.838,13;6624692489360;83.119,67;7710934010652;85.093,97;9931654169125;81.112,71;2710050396037;77.725,70;1700372365581;82.693,80;5368815300252;84.144,48;603677695011
2025-08-18;80.114,92;6670375633684;83.434,66;7749730934581;85.439,62;9991846377715;81.356,78;2724150288601;77.983,02;1712608586817;83.009,00;5389404333460;84.432,16;612750037041
2025-08-19;80.534,49;6732035732214;83.894,69;7805169395413;85.906,22;10061485702339;81.775,96;2744440994149;78.367,32;1724935940157;83.430,33;5424005918380;84.869,28;617976361785
